"X","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness","leaf_mass_per_area","leaf_N_per_dry_mass","seed_dry_mass","leaf_P_per_dry_mass","leaf_C_per_dry_mass","huber_value","plant_diameter_breast_height","leaf_lifespan","MAT","MAP","n_cells"
13,"Adenanthera abrosperma","Adenanthera","Fabaceae",21.5,NA,8,14,9.5,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,25.9895123919925,1173.81081081081,75
14,"Adenanthera pavonina","Adenanthera","Fabaceae",29.5,9,8.75,30,16.6,9,990,0.688,NA,NA,22.8,242,NA,491,NA,NA,NA,25.6503112874133,1817.3829787234,47
15,"Adenanthos acanthophyllus","Adenanthos","Proteaceae",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1655419667562,271.166666666667,6
16,"Adenanthos apiculatus","Adenanthos","Proteaceae",12.5,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.294302206773,634.461538461538,39
17,"Adenanthos argyreus","Adenanthos","Proteaceae",NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8666007911766,341.175824175824,91
18,"Adenanthos barbiger","Adenanthos","Proteaceae",47.5,NA,NA,1,8,NA,NA,NA,0.485,NA,5.2,15.2,0.2,NA,NA,NA,NA,16.7069663666842,938.289473684211,114
19,"Adenanthos cacomorphus","Adenanthos","Proteaceae",12.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8318338394165,445,1
20,"Adenanthos cuneatus","Adenanthos","Proteaceae",17.5,NA,NA,3,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9639061272144,607.8375,161
21,"Adenanthos x cunninghamii","Adenanthos","Proteaceae",27.5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Adenanthos cygnorum subsp. cygnorum","Adenanthos","Proteaceae",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Adenanthos cygnorum","Adenanthos","Proteaceae",21.9,NA,NA,4,22.4,NA,84,NA,0.87,230,7.9,NA,NA,NA,NA,NA,40,18.1625672550828,595.286384976526,213
24,"Adenanthos detmoldii","Adenanthos","Proteaceae",55,NA,NA,4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7936668395996,1035,1
25,"Adenanthos dobagii","Adenanthos","Proteaceae",14,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Adenanthos dobsonii","Adenanthos","Proteaceae",12.5,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Adenanthos drummondii","Adenanthos","Proteaceae",7.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6386185116238,499.533333333333,45
28,"Adenanthos ellipticus","Adenanthos","Proteaceae",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2895832061768,496,1
29,"Adenanthos eyrei","Adenanthos","Proteaceae",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Adenanthos filifolius","Adenanthos","Proteaceae",15,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4722919464111,503.25,4
31,"Adenanthos flavidiflorus","Adenanthos","Proteaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.138093359015,385.359550561798,89
32,"Adenanthos forrestii","Adenanthos","Proteaceae",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0814116341727,294.357142857143,28
33,"Adenanthos glabrescens subsp. exasperatus","Adenanthos","Proteaceae",10,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Adenanthos glabrescens subsp. glabrescens","Adenanthos","Proteaceae",17,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Adenanthos glabrescens","Adenanthos","Proteaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0988087373621,415.764705882353,34
36,"Adenanthos gracilipes","Adenanthos","Proteaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Adenanthos ileticos","Adenanthos","Proteaceae",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5408325195312,372,1
38,"Adenanthos linearis","Adenanthos","Proteaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Adenanthos macropodianus","Adenanthos","Proteaceae",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.453332901001,1134,1
40,"Adenanthos meisneri","Adenanthos","Proteaceae",10.5,NA,NA,1.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9740633822904,902.465346534653,101
41,"Adenanthos obovatus","Adenanthos","Proteaceae",16,NA,NA,2,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1733850000476,881.41825095057,263
42,"Adenanthos x pamela","Adenanthos","Proteaceae",27.5,NA,NA,1.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Adenanthos pungens subsp. effusus","Adenanthos","Proteaceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Adenanthos pungens subsp. pungens","Adenanthos","Proteaceae",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Adenanthos pungens","Adenanthos","Proteaceae",NA,NA,NA,3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Adenanthos sericeus subsp. sericeus","Adenanthos","Proteaceae",37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Adenanthos sericeus subsp. sphalma","Adenanthos","Proteaceae",27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Adenanthos sericeus","Adenanthos","Proteaceae",NA,NA,NA,5,NA,NA,305,NA,0.545,87.8,NA,NA,NA,NA,NA,NA,NA,16.0441136611135,745.473684210526,38
49,"Adenanthos stictus","Adenanthos","Proteaceae",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.203283405304,392.95,20
50,"Adenanthos terminalis","Adenanthos","Proteaceae",11.8,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4220775646769,475.757961783439,471
51,"Adenanthos velutinus","Adenanthos","Proteaceae",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.195333480835,525,1
52,"Adenanthos venosus","Adenanthos","Proteaceae",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1433259790594,508.363636363636,12
53,"Adonis microcarpa","Adonis","Ranunculaceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8612209453917,493.561403508772,57
54,"Afrocarpus falcata","Afrocarpus","Podocarpaceae",30,14.5,17,30,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Agapanthus praecox","Agapanthus","Agapanthaceae",600,NA,7.5,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4470441211048,863.492063492063,1135
56,"Agastachys odorata","Agastachys","Proteaceae",63.3,3,4,9,23.8,3,586,NA,0.738,281,NA,1.24,NA,NA,NA,NA,NA,9.24387826210211,2013.38016528926,122
57,"Agathis atropurpurea","Agathis","Araucariaceae",50,3.5,6.75,50,12.5,NA,1140,0.406,0.4,146,11.1,NA,0.529,NA,NA,NA,NA,20.0648187188541,2344.52941176471,34
58,"Agathis microstachya","Agathis","Araucariaceae",55,5,18.8,50,15,NA,NA,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5923049275468,2301.56097560976,41
59,"Agathis robusta","Agathis","Araucariaceae",90,5.5,18.8,50,25,NA,2300,0.395,0.42,131,11,43.9,0.579,522,NA,NA,NA,20.826928471762,1748.5873015873,126
60,"Agrostocrinum scabrum","Agrostocrinum","Hemerocallidaceae",185,NA,2.5,1,6.25,NA,NA,NA,NA,NA,8.5,1.72,0.4,NA,NA,NA,NA,16.7937336021295,683.329608938547,179
61,"Ailanthus integrifolia subsp. integrifolia","Ailanthus","Simaroubaceae",189,8,14.5,60,73.8,3,10700,0.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Ailanthus triphysa","Ailanthus","Simaroubaceae",77.5,5,5,45,15,3,NA,0.373,NA,NA,NA,42,NA,NA,NA,800,NA,19.9146028865467,1263.34265734266,143
63,"Akania bidwillii","Akania","Akaniaceae",350,8,11,25,32.5,NA,NA,0.572,NA,112,NA,NA,NA,NA,NA,450,NA,17.059744142569,1573.18269230769,208
64,"Alangium villosum subsp. polyosmoides","Alangium","Cornaceae",106,6,13.5,26,32.5,NA,3540,0.533,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Alangium villosum","Alangium","Cornaceae",116,NA,NA,20,50,NA,2490,0.574,0.25,74.5,33.4,NA,2.65,450,NA,NA,NA,19.4099406273134,1356.16129032258,31
66,"Alania cunninghamii","Alania","Boryaceae",70,NA,1,0.3,0.335,NA,NA,NA,NA,NA,NA,0.0302,NA,NA,NA,NA,NA,14.1967053302499,1133.6511627907,43
67,"Albizia canescens","Albizia","Fabaceae",36.5,8.67,9.5,10,23.5,8.5,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,25.1667430400848,991.166666666667,48
68,"Albizia lebbeck","Albizia","Fabaceae",31.7,8,9,30,16.5,4.5,34000,NA,NA,52.1,NA,162,NA,NA,NA,NA,NA,24.3504342740896,987.025510204082,196
69,"Albizia procera","Albizia","Fabaceae",37.5,5.25,7.5,20,22,3,NA,0.596,NA,NA,NA,35.5,NA,NA,NA,NA,NA,24.8999298358786,1508.36206896552,58
70,"Albizia retusa subsp. retusa","Albizia","Fabaceae",26.5,NA,NA,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"Albuca canadensis","Albuca","Asparagaceae",400,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Alectryon connatus","Alectryon","Sapindaceae",92.5,4.5,4.5,20,37.5,NA,NA,NA,NA,102,NA,26.2,NA,NA,NA,NA,NA,21.3505116048849,946.882075471698,213
73,"Alectryon coriaceus","Alectryon","Sapindaceae",93.3,4,5,12,48.3,NA,2910,0.626,NA,152,NA,32.8,NA,NA,NA,150,NA,19.6322542981404,1547.42276422764,123
74,"Alectryon forsythii","Alectryon","Sapindaceae",58.3,4.5,5.5,8,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,NA,14.9148932248354,906.625,64
75,"Alectryon kimberleyanus","Alectryon","Sapindaceae",39.5,5.5,5.5,7,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.163860244751,1077.64,25
76,"Alectryon repandodentatus","Alectryon","Sapindaceae",103,4.5,5.5,10,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"Alectryon subcinereus","Alectryon","Sapindaceae",111,4.5,5.5,30,42.2,NA,5390,0.632,NA,75.8,NA,105,NA,NA,0.000275,300,NA,16.434751071383,1185.34139784946,1117
78,"Alectryon subdentatus","Alectryon","Sapindaceae",50.3,4.5,5.5,12,22.5,NA,NA,NA,NA,78.4,NA,NA,NA,NA,NA,200,NA,17.2483681607838,942.754820936639,363
79,"Alectryon tomentosus","Alectryon","Sapindaceae",85.8,5.5,6.5,20,33.8,NA,8980,0.745,NA,98.7,NA,41.4,NA,NA,NA,300,NA,19.5516736479367,1203.48823529412,340
80,"Alectryon reticulatus","Alectryon","Sapindaceae",85,5,5,10,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1708276367188,1359.18,50
81,"Allium ampeloprasum","Allium","Alliaceae",375,NA,NA,2,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1733890013261,722.227272727273,45
82,"Allium neapolitanum","Allium","Alliaceae",215,NA,NA,0.6,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5340092109911,627.181818181818,33
83,"Allium oleraceum","Allium","Alliaceae",300,NA,NA,0.5,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3440003395081,997,2
84,"Allium roseum","Allium","Alliaceae",260,NA,NA,0.8,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6818332672119,807.5,2
85,"Allium scorodoprasum","Allium","Alliaceae",NA,NA,NA,0.8,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3992500305176,692.5,2
86,"Allium triquetrum","Allium","Alliaceae",305,NA,NA,0.4,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.085874078135,847.533068783069,757
87,"Allium vineale","Allium","Alliaceae",375,NA,NA,0.8,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.034177376794,606.681967213115,305
88,"Allocasuarina acuaria","Allocasuarina","Casuarinaceae",22.5,NA,NA,3,0.75,NA,NA,NA,NA,NA,NA,5.52,NA,NA,NA,NA,NA,16.3769849395752,424.84,25
89,"Allocasuarina acutivalvis subsp. acutivalvis","Allocasuarina","Casuarinaceae",17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"Allocasuarina acutivalvis subsp. prinsepiana","Allocasuarina","Casuarinaceae",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"Allocasuarina acutivalvis","Allocasuarina","Casuarinaceae",17.5,3.27,10,8,0.95,NA,182,0.81,NA,557,NA,2.32,NA,NA,NA,NA,NA,18.3734856333051,313.628078817734,406
92,"Allocasuarina brachystachya","Allocasuarina","Casuarinaceae",3.5,NA,NA,3,0.55,NA,NA,NA,NA,NA,NA,0.817,NA,NA,NA,NA,NA,14.4914297806589,859.052631578947,19
93,"Allocasuarina campestris","Allocasuarina","Casuarinaceae",9.5,2.5,6.44,3,0.9,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,18.0421812991301,366.064583333333,480
94,"Allocasuarina corniculata","Allocasuarina","Casuarinaceae",8.5,NA,NA,5,1.15,NA,NA,0.835,NA,NA,NA,0.883,NA,NA,NA,NA,NA,17.597015207464,325.755244755245,143
95,"Allocasuarina crassa","Allocasuarina","Casuarinaceae",10.7,NA,NA,5,1.45,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,11.2446761131287,994.5,2
96,"Allocasuarina decaisneana","Allocasuarina","Casuarinaceae",40,NA,NA,16,1.1,NA,2,1.04,NA,1070,10.1,14.8,NA,NA,NA,NA,NA,22.1636618244855,308.456647398844,173
97,"Allocasuarina decussata","Allocasuarina","Casuarinaceae",2.9,NA,NA,15,0.7,NA,NA,NA,NA,NA,NA,4.11,NA,NA,NA,NA,NA,15.1324905542227,1022.07692307692,65
98,"Allocasuarina defungens","Allocasuarina","Casuarinaceae",7,NA,NA,2,0.55,NA,NA,NA,NA,NA,NA,1.73,NA,NA,NA,NA,NA,17.94843861262,1309,30
99,"Allocasuarina dielsiana","Allocasuarina","Casuarinaceae",8,NA,NA,9,0.9,NA,NA,0.9,NA,NA,NA,2.47,NA,NA,NA,NA,NA,19.7675040301155,300.317647058824,85
100,"Allocasuarina diminuta subsp. annectens","Allocasuarina","Casuarinaceae",NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,"Allocasuarina diminuta subsp. diminuta","Allocasuarina","Casuarinaceae",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"Allocasuarina diminuta subsp. mimica","Allocasuarina","Casuarinaceae",NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"Allocasuarina diminuta","Allocasuarina","Casuarinaceae",8.5,NA,NA,5,0.85,NA,NA,NA,NA,218,14.1,NA,0.39,NA,NA,NA,NA,15.9817137037005,733.09375,448
104,"Allocasuarina distyla","Allocasuarina","Casuarinaceae",8,2.21,5.19,3,1.6,NA,245,NA,1.5,718,7.86,3.01,0.146,485,NA,NA,NA,15.4014355890679,1086.83333333333,332
105,"Allocasuarina drummondiana","Allocasuarina","Casuarinaceae",2,NA,NA,3,1.05,NA,NA,NA,NA,NA,NA,6.72,NA,NA,NA,NA,NA,18.7479166666667,402.033333333333,30
106,"Allocasuarina emuina","Allocasuarina","Casuarinaceae",6,NA,NA,1.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6734536488851,1529.66666666667,3
107,"Allocasuarina eriochlamys subsp. eriochlamys","Allocasuarina","Casuarinaceae",9.5,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"Allocasuarina eriochlamys subsp. grossa","Allocasuarina","Casuarinaceae",13.5,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"Allocasuarina eriochlamys","Allocasuarina","Casuarinaceae",11.5,NA,NA,3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7452468138475,260.538461538462,52
110,"Allocasuarina fibrosa","Allocasuarina","Casuarinaceae",12.5,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,4.63,NA,NA,NA,NA,NA,NA,NA,NA
111,"Allocasuarina filidens","Allocasuarina","Casuarinaceae",13.5,NA,NA,3,0.65,NA,NA,NA,NA,NA,NA,2.33,NA,NA,NA,NA,NA,19.8476670583089,1532.33333333333,3
112,"Allocasuarina fraseriana","Allocasuarina","Casuarinaceae",5.98,NA,NA,15,1.05,NA,235,0.624,NA,400,10.9,4.92,0.3,NA,NA,NA,NA,16.8614179424404,879.865979381443,195
113,"Allocasuarina glareicola","Allocasuarina","Casuarinaceae",8,NA,NA,2,0.6,NA,NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,16.9565910859541,925.181818181818,11
114,"Allocasuarina globosa","Allocasuarina","Casuarinaceae",22.5,NA,NA,1.5,1.05,NA,NA,NA,NA,NA,NA,1.69,NA,NA,NA,NA,NA,NA,NA,NA
115,"Allocasuarina grampiana","Allocasuarina","Casuarinaceae",4.5,NA,NA,4,0.675,NA,NA,NA,NA,NA,NA,2.03,NA,NA,NA,NA,NA,11.9983485539754,814.484848484848,33
116,"Allocasuarina grevilleoides","Allocasuarina","Casuarinaceae",17,NA,NA,0.4,0.65,NA,NA,NA,NA,NA,NA,8.17,NA,NA,NA,NA,NA,NA,NA,NA
117,"Allocasuarina gymnanthera","Allocasuarina","Casuarinaceae",8.5,1.5,4.17,5,0.75,NA,NA,NA,NA,NA,NA,1.72,NA,NA,NA,NA,NA,16.1612463380438,701.429718875502,249
118,"Allocasuarina helmsii","Allocasuarina","Casuarinaceae",5,3.01,5.11,5,0.8,NA,NA,NA,NA,NA,NA,1.76,NA,NA,NA,NA,NA,18.0899066661966,282.827586206897,145
119,"Allocasuarina huegeliana","Allocasuarina","Casuarinaceae",10.5,NA,NA,10,0.85,NA,194,0.762,NA,351,NA,3.2,NA,NA,NA,NA,NA,16.9514962772825,445.847014925373,268
120,"Allocasuarina humilis","Allocasuarina","Casuarinaceae",2.48,3.83,4.94,2,1,NA,NA,NA,NA,NA,NA,2.37,NA,NA,NA,NA,NA,17.3505709344448,587.370577281192,537
121,"Allocasuarina inophloia","Allocasuarina","Casuarinaceae",5.5,2.54,4.4,10,0.55,NA,NA,0.811,NA,NA,NA,2.19,NA,NA,NA,NA,NA,18.9065294983113,800.663716814159,226
122,"Allocasuarina lehmanniana subsp. ecarinata","Allocasuarina","Casuarinaceae",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"Allocasuarina lehmanniana subsp. lehmanniana","Allocasuarina","Casuarinaceae",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"Allocasuarina lehmanniana","Allocasuarina","Casuarinaceae",7,NA,NA,4,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6958043066303,564.876404494382,90
125,"Allocasuarina littoralis","Allocasuarina","Casuarinaceae",3.66,1.29,3.92,15,0.66,0.734,98,0.633,NA,246,12.9,2.58,0.287,504,0.000185,NA,NA,15.6989169801111,1017.13497562227,3906
126,"Allocasuarina luehmannii","Allocasuarina","Casuarinaceae",8,1.87,2.87,15,1.25,NA,216,0.964,NA,479,14.7,1.62,0.543,469,NA,NA,NA,16.1077027549389,542.559728183119,2796
127,"Allocasuarina mackliniana subsp. hirtilinea","Allocasuarina","Casuarinaceae",13,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,"Allocasuarina mackliniana subsp. mackliniana","Allocasuarina","Casuarinaceae",13,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"Allocasuarina mackliniana subsp. xerophila","Allocasuarina","Casuarinaceae",10,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"Allocasuarina mackliniana","Allocasuarina","Casuarinaceae",7,NA,NA,3,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5919744500286,546.214611872146,219
131,"Allocasuarina media","Allocasuarina","Casuarinaceae",4.5,2,4.25,3,0.575,NA,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA,NA,13.7648316224416,983.75,12
132,"Allocasuarina microstachya","Allocasuarina","Casuarinaceae",4,NA,NA,1,0.7,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,17.146268658638,441.785,200
133,"Allocasuarina misera","Allocasuarina","Casuarinaceae",3.9,2.4,5.15,2,0.675,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,13.7850471794938,691.027932960894,179
134,"Allocasuarina monilifera","Allocasuarina","Casuarinaceae",5.25,1.45,3.02,5,0.933,0.633,117,0.58,NA,502,8.2,2.4,0.262,493,0.000318,NA,NA,11.6354963006644,1106.28275862069,149
135,"Allocasuarina muelleriana subsp. alticola","Allocasuarina","Casuarinaceae",6,NA,NA,3,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"Allocasuarina muelleriana subsp. muelleriana","Allocasuarina","Casuarinaceae",0.7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,"Allocasuarina muelleriana subsp. notocolpica","Allocasuarina","Casuarinaceae",8,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"Allocasuarina muelleriana","Allocasuarina","Casuarinaceae",3.8,NA,NA,4,0.675,NA,83.8,0.731,NA,272,NA,NA,NA,NA,NA,NA,NA,15.180175595551,503.610561056106,1212
139,"Allocasuarina nana","Allocasuarina","Casuarinaceae",3.05,1.89,2.68,2,0.575,0.645,NA,NA,NA,NA,NA,1.36,NA,NA,NA,NA,NA,12.9573076013206,965.471014492754,276
140,"Allocasuarina ophiolitica","Allocasuarina","Casuarinaceae",10.5,NA,NA,3,0.8,NA,NA,NA,NA,NA,NA,1.23,NA,NA,NA,NA,NA,15.0587499141693,997.333333333333,12
141,"Allocasuarina paludosa","Allocasuarina","Casuarinaceae",7.47,1.67,4.42,3,0.783,NA,96.3,0.682,NA,389,NA,1.12,NA,NA,NA,NA,NA,13.7978547488229,857.064618644068,947
